nct_id,title,status,phase,condition,enrollment,start_date,completion_date
NCT05113251,"Trastuzumab Deruxtecan (T-DXd) Alone or in Sequence With THP, Versus Standard Treatment (ddAC-THP), in HER2-positive Early Breast Cancer",ACTIVE_NOT_RECRUITING,PHASE3,"Breast Neoplasms, Breast Cancer, HER2-positive Early Breast Cancer",927.0,2021-10-25,2027-04-30
NCT01081951,"Study to Compare the Efficacy and Safety of Olaparib When Given in Combination With Carboplatin and Paclitaxel, Compared With Carboplatin and Paclitaxel in Patients With Advanced Ovarian Cancer",ACTIVE_NOT_RECRUITING,PHASE2,Ovarian Cancer,162.0,2010-02-04,2026-12-31
NCT04986202,Study to Evaluate the Efficacy and Safety of AZD4831 in Participants With Heart Failure With Left Ventricular Ejection Fraction > 40%,COMPLETED,"PHASE2, PHASE3",Heart Failure With Preserved Ejection Fraction,711.0,2021-06-30,2024-03-27
NCT00384475,A Study of Ciclesonide Nasal Spray in Patients 18 Years and Older With Seasonal Allergic Rhinitis (BY9010/M1-413),COMPLETED,PHASE3,"Rhinitis, Allergic, Seasonal, Hay Fever",500.0,2006-10,2007-01
NCT00241501,Safety of Daily Dose Esomeprazole for GERD for Pediatric and Adolescent Patients,COMPLETED,PHASE3,Gastroesophageal Reflux Disease (GERD),140.0,2004-02,2005-04
NCT07543601,Enhanced COPD Management in Suspected Lung Cancer Patients,RECRUITING,NA,"COPD (Chronic Obstructive Pulmonary Disease), Lung Cancer (Diagnosis), Lung Neoplasm Malignant, Lung Carcinoma, Pulmonary Neoplasms, Pulmonary Neoplasm, Pulmonary Cancers, Pulmonary Cancer, Pulmonary Carcinoma, COPD, COPD - Chronic Obstructive Pulmonary Disease, Airflow Obstruction, Chronic",280.0,2026-03-06,2027-06-30
NCT00608153,Compliance of Patients With Essential Hypertension Treated With Candesartan or Candesartan/Hydrochlorothiazide,COMPLETED,,Essential Hypertension,1773.0,2007-01,2007-09
NCT05167175,The Study of Olaparib Combined With Abiraterone and Prednisone in mHSPC Patients With HRR Gene Mutation,UNKNOWN,PHASE2,"Prostate Cancer, Prostate Carcinoma, Metastatic Prostate Cancer",30.0,2022-03-01,2024-12-01
NCT00812045,Study to Assess Efficacy of AZD1236 in Patients With Cystic Fibrosis,WITHDRAWN,PHASE2,Cystic Fibrosis,44.0,2009-12,2010-08
NCT03944772,Phase 2 Platform Study in Patients With Advanced Non-Small Lung Cancer Who Progressed on First-Line Osimertinib Therapy (ORCHARD),ACTIVE_NOT_RECRUITING,PHASE2,Non-Small Cell Lung Cancer,247.0,2019-06-25,2025-05-06
NCT04430712,Immune Checkpoint Inhibitors and Atherosclerotic Plaque Volume,COMPLETED,,Non-small Cell Lung Cancer,60.0,2020-08-01,2022-08-22
NCT00536965,Percentage of Secondary Prevention Patients Treated to Their LDL-C Targets,COMPLETED,,"Hyperlipidemias, Atherosclerosis, Coronary Heart Disease, Carotid Stenosis, Peripheral Vascular Diseases, Diabetes Mellitus",951.0,2007-07,2007-12
NCT03344341,A Phase IV Study in Drug-Naive Patients With T2DM in China,TERMINATED,PHASE4,Type 2 Diabetes Mellitus,304.0,2017-12-15,2019-05-24
NCT06880354,A Clinical Study to Evaluate the Safety and Efficacy of CLL1 and CD38 Dual-Target CAR-T Cell Injection in the Treatment of Relapsed or Refractory Acute Myeloid Leukemia,RECRUITING,PHASE1,Acute Myeloid Leukemia,37.0,2025-05-22,2028-03-31
NCT00833456,NIS to Observe Improvement in Global Assessment of Functioning in Patients With Schizophrenia,COMPLETED,,Schizophrenia,106.0,2009-02,2010-11
NCT04595851,Pharmacists Coordinated Care Oncology Model (PCOM) for Patients Taking Oral Anti-cancer Medications,TERMINATED,NA,"Chronic Myeloid Leukemia, Chronic Lymphocytic Leukemia, Multiple Chronic Conditions",6.0,2021-03-26,2022-07-14
NCT06611345,A Study of Tumor-Treating Fields in Combination With Durvalumab and Gemcitabine/Cisplatin in Biliary Tract Cancers,RECRUITING,NA,Biliary Tract Cancers (BTC),60.0,2024-10-21,2027-03-30
NCT02239666,Observational Study to Estimate the Effectiveness of Biologics When Treating Plaque Psoriasis,COMPLETED,,Plaque Psoriasis,899.0,2014-03-01,2017-01-05
NCT01265654,Reasons for Changing HOrmonal Therapy of Advanced Breast Cancer,COMPLETED,,Breast Cancer,234.0,2011-01,2011-11
NCT01523405,"A Non-Interventional Study To Evaluate Diabetes Related Quality Of Life, Frequency And Impact Of Hypoglycemia In T2DM",COMPLETED,,Type II Diabetes Mellitus,4911.0,2012-03,2013-02
NCT00684502,"Study to Assess the Safety, Tolerability and Pharmacokinetics of AZD2066 in Young and Elderly Healthy Subjects",COMPLETED,PHASE1,Pain,110.0,2008-01,2008-11
NCT07511205,"A Study to Investigate Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of AZD1043 in Healthy Adult Participants Living With Overweight and/or Obesity.",RECRUITING,PHASE1,"Healthy Participants, Obesity",104.0,2026-03-30,2027-11-17
NCT05209529,Chemo-free BRCA-targeted Neoadjuvant Strategy,WITHDRAWN,PHASE2,"TNBC - Triple-Negative Breast Cancer, BRCA1 Mutation, BRCA2 Mutation",0.0,2024-02-01,2030-07-18
NCT00524641,"Asthma Control-A ""Patient Follow up Programme"" Maintenance and Reliever Therapy in a Single Inhaler",COMPLETED,,Asthma,1254.0,2007-07,2008-04
NCT05256641,Acalabrutinib Maintenance for the Treatment of Patients With Large B-cell Lymphoma,RECRUITING,"PHASE1, PHASE2","Diffuse Large B-Cell Lymphoma, High-grade B-cell Lymphoma, Transformed Lymphoma, Secondary Central Nervous System Lymphoma",24.0,2023-01-23,2028-01-31
NCT03833154,Durvalumab With Stereotactic Body Radiation Therapy (SBRT) vs Placebo With SBRT in Early Stage Unresected Non-small Cell Lung Cancer (NSCLC) Patients/ Osimertinib Following SBRT in Patients With Early Stage Unresected NSCLC Harboring an EGFR Mutation,ACTIVE_NOT_RECRUITING,PHASE3,"Carcinoma, Non-Small-Cell Lung",724.0,2019-03-06,2028-10-31
NCT05694741,"A Study to Assess Safety, Tolerability, and Pharmacokinetics of AZD0186",TERMINATED,PHASE1,Type 2 Diabetes,31.0,2022-12-20,2023-05-10
NCT02516241,Study of MEDI4736 (Durvalumab) With or Without Tremelimumab Versus Standard of Care Chemotherapy in Urothelial Cancer,ACTIVE_NOT_RECRUITING,PHASE3,Urothelial Cancer,1126.0,2015-11-02,2026-12-31
NCT01931761,"Study Evaluating Absorption, Distribution, Metabolism and Excretion (ADME) of Single Dose [14C] Selumetinib in Volunteers",COMPLETED,PHASE1,Solid Tumours,6.0,2013-10,2013-11
NCT00681850,OPtimal Type 2 dIabetes Management Including Benchmarking and Standard trEatment.,COMPLETED,,Diabetes,4027.0,2008-03,2010-01
NCT01183559,"A Trial of ZD6474, Paclitaxel, Carboplatin, 5-Fluorouracil, and Radiation Therapy Followed by Surgery",COMPLETED,PHASE1,"Cancer of the Esophagus, Adenocarcinoma of the Gastroesophageal Junction, Cancer of the Stomach",9.0,2008-08-07,2011-08
NCT00054691,ZD1839 (Iressa) for Recurrent or Metastatic Squamous Cell Carcinoma of the Skin,COMPLETED,PHASE2,Skin Cancer,40.0,2004-05,2012-10
NCT02498613,A Phase 2 Study of Cediranib in Combination With Olaparib in Advanced Solid Tumors,ACTIVE_NOT_RECRUITING,PHASE2,"Advanced Malignant Solid Neoplasm, Metastatic Lung Non-Small Cell Carcinoma, Metastatic Lung Small Cell Carcinoma, Metastatic Pancreatic Adenocarcinoma, Metastatic Triple-Negative Breast Carcinoma, Pancreatic Ductal Adenocarcinoma, Stage III Breast Cancer AJCC v7, Stage III Lung Non-Small Cell Cancer AJCC v7, Stage III Lung Small Cell Carcinoma AJCC v7, Stage III Pancreatic Cancer AJCC v6 and v7, Stage IIIA Breast Cancer AJCC v7, Stage IIIA Lung Non-Small Cell Cancer AJCC v7, Stage IIIA Lung Small Cell Carcinoma AJCC v7, Stage IIIB Breast Cancer AJCC v7, Stage IIIB Lung Non-Small Cell Cancer AJCC v7, Stage IIIB Lung Small Cell Carcinoma AJCC v7, Stage IIIC Breast Cancer AJCC v7, Stage IV Breast Cancer AJCC v6 and v7, Stage IV Lung Non-Small Cell Cancer AJCC v7, Stage IV Lung Small Cell Carcinoma AJCC v7, Stage IV Pancreatic Cancer AJCC v6 and v7, Triple-Negative Breast Carcinoma, Unresectable Lung Small Cell Carcinoma, Unresectable Pancreatic Adenocarcinoma, Unresectable Pancreatic Carcinoma, Unresectable Triple-Negative Breast Carcinoma",122.0,2016-08-31,2027-04-10
NCT00698282,Single and Multiple Ascending Doses of AZD1981 in Japan,COMPLETED,PHASE1,Healthy,47.0,2008-08,2008-10
NCT00689780,"Study to Investigate the Safety, Tolerability and Pharmacokinetics of AZD1940",COMPLETED,PHASE1,Low Back Pain,60.0,2008-03,2008-11
NCT06942923,"A Study to Investigate the Safety, Tolerability and Pharmacodynamics of AZD4144 in Participants With Obesity",COMPLETED,PHASE1,Healthy Participants,28.0,2025-04-22,2025-09-29
NCT01689389,Description of the Use of Quetiapine Extended Release (XR) in Real-life Practice in France. An Observational Study,COMPLETED,,"Schizophrenia, Bipolar Episodes",2292.0,2012-12,2014-12
NCT01147224,ATEM (Alvesco Non-interventional Study),COMPLETED,,"Asthma, Allergy",400.0,2010-03,2011-08
NCT00931723,Adult Bipolar Mania,COMPLETED,PHASE4,Acute Mania,356.0,2009-06,2010-11
NCT00728780,Study to Compare the Bioavailability of ABT-335 and Rosuvastatin From ABT-143 Capsules Relative to That From Co-administration of ABT-335 and Rosuvastatin for the 5/45mg Dosage Form.,COMPLETED,PHASE1,"Adverse Events, Pharmacokinetic Variables",32.0,2008-08,
NCT06767462,An Ophthalmic Safety Study in Patients With Breast Cancer,ACTIVE_NOT_RECRUITING,,Ophthalmic Safety in Patients With Breast Cancer,160.0,2025-03-05,2027-04-09
NCT05048797,"A Study to Investigate the Efficacy and Safety of Trastuzumab Deruxtecan as the First Treatment Option for Unresectable, Locally Advanced/Metastatic Non-Small Cell Lung Cancer With HER2 Mutations",ACTIVE_NOT_RECRUITING,PHASE3,Locally Advanced or Metastatic Non-Small Cell Lung Cancer,454.0,2021-10-28,2027-07-30
NCT06732882,Study to Evaluate the Pharmacokinetics and Pharmacodynamics of AZD4604 Given Via the Turbuhaler® Device in Adults With Mild Asthma.,COMPLETED,PHASE1,Asthma,28.0,2025-02-27,2025-05-29
NCT01757262,A Clinical Study of Safety and P2Y12 Receptor Inhibition Effects of Ticagrelor and Clopidogrel in Vietnamese Patient,WITHDRAWN,PHASE3,Coronary Heart Disease,0.0,2013-01,2013-04
NCT05955183,"Study to Assess the Safety, Tolerability and Pharmacokinetics of AZD5055 in Japanese and Chinese Healthy Volunteers..",COMPLETED,PHASE1,Healthy Participants,38.0,2023-07-27,2023-12-04
NCT02681094,"A Multi-Center, Randomized, Double-Blind, Phase III Trial to Evaluate the Safety and Efficacy of Saxagliptin Co-administered With Dapagliflozin Compared to Saxagliptin or Dapagliflozin All Given as add-on Therapy to Metformin in Subject With Type 2 Diabetes",COMPLETED,PHASE3,"Type 2 Diabetes Mellitus, Inadequate Glycaemic Control",905.0,2016-02-26,2017-07-15
NCT03430895,"Evaluating Immune Therapy, Durvalumab (MEDI4736) With Tremelimumab for Metastatic, Non-transitional Cell Carcinoma of the Urinary Tract",COMPLETED,PHASE2,"Non-Transitional Cell Carcinoma of the Urothelial Tract, Small Cell of the Bladder, Adenocarcinoma of the Bladder, Squamous Cell Carcinoma of the Bladder, Metastatic Bladder Cancer",15.0,2018-01-31,2021-02-10
NCT01192139,"Bioequivalence Study of the Fixed Dose Combination of 5 mg Saxagliptin and 500 mg Metformin XR Tablet (Manufactured in Mt Vernon, IN) Relative to 5 mg Saxagliptin Tablet and 500 mg Metformin XR Tablet (Manufactured in Evansville, IN)",COMPLETED,PHASE1,Diabetes Mellitus,30.0,2009-11,2009-12
NCT06015737,A Phase III Study to Investigate the Efficacy and Safety of Anifrolumab in Adults With Chronic and/or Subacute Cutaneous Lupus Erythematosus,ACTIVE_NOT_RECRUITING,PHASE3,Cutaneous Lupus Erythematosus,339.0,2024-06-29,2027-08-10
NCT00632905,Bone Health Observational Study,COMPLETED,,Prostate Cancer,599.0,2007-09,2016-03
NCT02077257,LDL-C Lowering Efficacy and Safety of Rosuvastatin 20 mg/Day to10 mg/Day in Chinese ACS(Acute Coronary Syndrome) Patients,UNKNOWN,PHASE4,Acute Coronary Syndrome,1060.0,2014-03,2016-05
NCT01752569,A Study of Selumetinib in Patients With Kaposi's Sarcoma,TERMINATED,"PHASE1, PHASE2",AIDS-related Kaposi's Sarcoma,19.0,2012-06-15,2017-12-20
NCT00937066,Cost-effectiveness Study of Symbicort as Maintenance and Reliever Therapy (SMART),COMPLETED,,Asthma,1000.0,,
NCT01253473,Symbicort in Airway Predominant Chronic Obstructive Pulmonary Disease (COPD),COMPLETED,PHASE4,"Pulmonary Disease, Chronic Obstructive",46.0,2012-04,2016-01
NCT03222427,A Study of LY3314814 in Healthy Participants,COMPLETED,PHASE1,Healthy,8.0,2018-01-15,2018-02-16
NCT01964131,BE Study Between a Capsule and a Sachet Formulation of D961H by Pharmacodynamics in Japanese Healthy Male Subjects,COMPLETED,PHASE1,"Gastric Ulcer, Duodenal Ulcer, Anastomotic Ulcer, Reflux Esophagitis, Etc.",34.0,2013-10,2013-12
NCT03295331,Assessment of Asthma Control Level in Malaysia,COMPLETED,,Asthma Control Level,398.0,2017-01-03,2017-04-05
NCT00516204,Diabetic Under 70 (Diabetics Below 70),COMPLETED,,"Diabetes, Hyperlipidemia, Atherosclerosis",685.0,2007-07,2007-12
NCT02424448,"Study to Determine the Feasibility, Evaluability and Variability in Markers of Drug Action in Castration Resistant Prostate Cancer",COMPLETED,,Metastatic Castration Resistant Prostate Cancer,6.0,2014-12,2016-07
NCT00745732,Radiation Therapy (XRT) and ZD6474 in Non-Small Cell Lung Cancer (NSCLC),TERMINATED,PHASE1,Non-Small Cell Lung Cancer,3.0,2008-10-09,2012-09
NCT03823547,Future Optimal Research and Care Evaluation,RECRUITING,,"Acute Coronary Syndrome, Myocardial Infarction",99999.0,2015-01-01,2050-06-30
NCT00808249,AZD7325 Proof of Concept in Patients With Generalized Anxiety Disorder (GAD),COMPLETED,PHASE2,Anxiety Disorders,725.0,2008-12,2009-05
NCT01325415,A Placebo-controlled Four Way Crossover Study to Asses the Effect of a Single Oral Dose of NKTR-118 on QTc Interval in Healthy Male Subjects,COMPLETED,PHASE1,"Amount of NKTR-118 in Blood, Variation in the Heart's Electrical Cycle",45.0,2011-04,2011-07
NCT03203993,China Ovarian Cancer BRCA Testing Study,TERMINATED,,Ovarian Cancer,29.0,2018-01-31,2020-03-31
NCT01482884,"Evaluation of Efficacy and Safety of Tralokinumab in Patients With Active, Moderate-to-severe Ulcerative Colitis",COMPLETED,PHASE2,Ulcerative Colitis,147.0,2012-03,2013-06
NCT01325948,Cross-sectional Study to Investigate the Effects of Chronic Obstructive Pulmonary Disease on Daily Life Activities,COMPLETED,,Chronic Obstructive Pulmonary Disease,497.0,2011-03,2011-06
NCT03078036,"International Breast Cancer Biomarker,Standard of Care and Real World Outcomes Study",COMPLETED,,Breast Cancer,873.0,2017-03-13,2019-05-20
NCT03934333,A Study to Compare the Pharmacokinetics of Budesonide Delivered by PT027 Compared With Pulmicort Flexhaler (ELBRUS),COMPLETED,PHASE1,Relative Bioavailability,11.0,2019-05-16,2019-09-10
NCT01392807,Open-label Study to Assess the Pharmacokinetics of NKTR-118 in Patients With Impaired Hepatic Function,COMPLETED,PHASE1,Hepatic; Functional Disturbance,24.0,2011-07,2011-11
