nct_id,title,status,phase,condition,enrollment,start_date,completion_date
NCT05667298,Organ-Preserving Endoscopic Resection & Adjuvant RADIO-immuno-chemotherapy for Esophageal Cancer,ACTIVE_NOT_RECRUITING,PHASE1,Esophageal Cancer,11.0,2023-03-01,2029-07-01
NCT03303521,A Study to Test Whether ZS (Sodium Zirconium Cyclosilicate) Can Reduce the Incidence of Increased Blood Potassium Levels Among Dialized Patients.,COMPLETED,PHASE3,Hyperkalemia,196.0,2017-12-14,2018-11-07
NCT01851265,D081AC00001 Food Interaction With Olaparib Capsule in Patients With Solid Tumours,COMPLETED,PHASE1,Solid Tumours,32.0,2013-07-04,2017-06-06
NCT02117167,SAFIR02_Lung - Efficacy of Targeted Drugs Guided by Genomic Profiles in Metastatic NSCLC Patients,COMPLETED,PHASE2,Non-small Cell Lung Cancer Metastatic,999.0,2014-04-23,2023-12
NCT02005211,"A Two-part Single and Multiple Dose Study to Assess the Safety , Pharmacokinetics and Effects of AZD3293 in Healthy Japanese Young and Elderly Volunteers",COMPLETED,PHASE1,Healthy Japanese Young and Elderly Male and Non-fertile Female Volunteers,114.0,2013-12,2014-07
NCT01933932,Assess Efficacy & Safety of Selumetinib in Combination With Docetaxel in Patients Receiving 2nd Line Treatment for v-Ki-ras2 Kirsten Rat Sarcoma Viral Oncogene Homolog (KRAS) Positive NSCLC,ACTIVE_NOT_RECRUITING,PHASE3,Locally Advanced or Metastatic Non Small Cell Lung Cancer Stage IIIb - IV,510.0,2013-09-25,2026-12-31
NCT02561130,Remission Evaluation of a Metabolic Intervention in Type 2 Diabetes With Forxiga,COMPLETED,PHASE4,Type 2 Diabetes Mellitus,154.0,2015-12,2018-12-31
NCT00746434,A Proof of Concept Study With 0.5% Roflumilast Cream in Patients With Mild to Moderate Plaque Psoriasis,WITHDRAWN,PHASE2,Plaque Psoriasis,0.0,2008-11,2009-09
NCT00601198,A Study of Amifostine (Ethyol) in Patients With Colorectal Cancer,TERMINATED,PHASE2,Colorectal Cancer,4.0,2006-10,2010-01-13
NCT00280787,"Induction Chemotherapy Using Paclitaxel, Carboplatin, CPT-11 With Pegfilgrastim",COMPLETED,PHASE2,Non Small Cell Lung Cancer,24.0,2003-11,2010-10
NCT00970775,AZD2423 Single Ascending Dose Study in Healthy Japanese Subjects,COMPLETED,PHASE1,Healthy Volunteer,32.0,2009-08,2009-12
NCT01360307,Validation of the Spanish Version of the Clinically Useful Depression Outcome Scale (CUDOS) Scale,COMPLETED,,Unipolar Depression,330.0,2011-06,2011-11
NCT01802632,AZD9291 First Time In Patients Ascending Dose Study,COMPLETED,"PHASE1, PHASE2","Advanced Non Small Cell Lung Cancer, Advanced (Inoperable) Non Small Cell Lung Cancer",603.0,2013-03-04,2023-12-11
NCT02226198,A Study to Evaluate the Efficacy and Safety of Rosuvastatin in Children and Adolescents With Homozygous Familial Hypercholesterolemia,COMPLETED,PHASE3,Homozygous Familial Hypercholesterolemia (HoFH),20.0,2014-11,2015-07
NCT02075255,Efficacy and Safety Study of Benralizumab to Reduce OCS Use in Patients With Uncontrolled Asthma on High Dose Inhaled Corticosteroid Plus LABA and Chronic OCS Therapy,COMPLETED,PHASE3,Asthma,220.0,2014-04-28,2016-08-08
NCT07802626,"Adding Capivasertib to Standard Treatment in HR Positive, HER2 Negative Metastatic Breast Cancer Based on ctDNA Testing",NOT_YET_RECRUITING,PHASE3,HR Positive/HER-2 Negative Breast Cancer,1084.0,2026-10-30,2035-10-30
NCT07764978,Study of AZD0120 in Newly Diagnosed Multiple Myeloma Ineligible for ASCT,RECRUITING,PHASE3,Newly Diagnosed Multiple Myeloma,750.0,2026-06-26,2034-05-12
NCT00188617,Phase 2 Study Of Neoadjuvant Iressa Treatment In Stage 1 NSCLC,COMPLETED,PHASE2,LUNG CANCER,35.0,2005-01,2009-11
NCT05741658,The Fontan Dapagliflozin Pilot Study,COMPLETED,PHASE4,Heart Failure,29.0,2023-11-08,2026-03-10
NCT01437397,"Efficacy, Safety and Tolerability of Aclidinium Bromide/Formoterol Fumarate Compared With Aclidinium Bromide and Formoterol Fumarate in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD)",COMPLETED,PHASE3,Chronic Obstructive Pulmonary Disease,1692.0,2011-09,2013-02
NCT04905420,The Impact of PCCM on Healthcare Among Asthma or Chronic Obstructive Pulmonary Disease (COPD) or Asthma-COPD Overlap Patients,COMPLETED,,"Asthma, COPD, Asthma-COPD Overlap",288538.0,2021-12-08,2023-06-12
